age,league,season,position,Current Club,nationality,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur,Position_NEW
25,Liga NOS,2020/2021,Defender,Belenenses,Portugal,957.0,20.0,0.0,0.0,5.0,0.09,0.09,0.0,0.0,1.13,0.09,27.24,20.95,2.25,0.66,0.28,0.38,0.85,1.03,0.85,0.19,0.0,0.0,0.85,0.09,1.32,0.0,0.0,0.0,0.14,0.03,2.07,1.97,0.03,0.85,10.71,5.35,0.38,1.32,332.0,119.0,78.0,24.0,6.01,2.94,0.22,0.0,0.0,0.22,22.22,0.0,76.9,42.86,0.0,0.0,0.0,3.17,50.0,26.42,0.0,0.0,0.0,0.0,350000.0,Central Midfielders
25,Liga NOS,2021/2022,Defender,Belenenses,Portugal,1934.0,26.0,0.0,0.0,5.0,0.09,0.09,0.0,0.0,1.81,0.51,28.49,21.46,1.21,0.09,0.05,0.05,0.65,0.47,1.44,0.37,0.0,0.0,0.42,0.42,2.33,0.0,0.0,0.09,0.11,0.0,1.35,1.82,0.0,0.84,8.47,3.68,0.51,0.84,307.0,146.0,158.0,25.0,6.56,3.15,0.42,0.0,0.0,0.04,25.81,0.0,75.33,50.0,0.0,0.0,0.0,3.04,43.41,21.95,0.0,0.0,0.0,0.0,350000.0,Central Midfielders
25,Liga NOS,2022/2023,Defender,Santa Clara,Portugal,642.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.68,0.42,34.15,27.15,1.96,0.14,0.0,0.14,1.4,0.56,0.98,0.56,0.0,0.0,0.42,0.0,1.26,0.0,0.0,0.14,0.09,0.0,2.24,2.94,0.0,0.28,10.5,5.04,0.98,0.42,394.0,219.0,138.0,24.0,6.02,1.53,0.47,0.0,0.0,0.07,57.14,0.0,79.51,0.0,0.0,0.0,0.0,2.4,48.0,13.04,0.0,0.0,0.0,84631.0,300000.0,Central Midfielders
22,Premier League,2021/2022,Midfielder,Chelsea,England,966.0,15.0,0.0,0.0,5.0,0.28,0.19,0.09,0.0,0.75,0.09,32.64,27.85,1.29,1.11,0.65,0.46,0.18,2.31,2.4,1.48,0.0,0.0,1.38,0.0,0.46,0.0,0.0,0.37,0.26,0.1,1.57,0.92,0.1,0.37,10.42,4.7,1.84,0.46,178.0,61.0,-1.0,17.0,6.95,2.13,1.33,0.0,12.0,0.33,61.54,0.0,85.31,58.33,0.0,1.0,8.33,3.4,45.13,15.62,0.0,0.0,0.0,0.0,26666666.666666668,Attacking Midfielders
23,Bundesliga,2022/2023,Midfielder,Bayer Leverkusen,England,605.0,14.0,0.0,0.0,4.0,0.15,0.15,0.0,0.0,1.79,0.0,34.1,29.65,0.74,0.15,0.15,0.0,0.3,1.78,3.41,1.93,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.3,0.2,0.01,2.97,0.3,0.01,0.0,10.23,5.63,2.08,0.59,259.0,106.0,-1.0,24.0,6.71,0.86,1.0,0.0,0.0,0.0,56.52,0.0,86.96,100.0,0.0,0.0,0.0,2.71,55.07,33.33,0.0,0.0,0.0,7176000.0,14000000.0,Defensive Midfielders / Wing Backs
31,Premier League,2021/2022,Forward,Newcastle United,England,1389.0,18.0,2.0,0.0,2.0,0.52,0.0,0.52,0.47,1.94,0.26,9.73,6.64,0.58,2.0,0.97,1.03,0.19,0.64,1.35,0.64,0.0,0.0,0.19,0.13,0.64,0.0,0.0,1.1,0.05,0.3,1.42,1.74,0.39,1.87,11.99,4.51,1.74,0.06,11.0,386.0,-1.0,1.0,6.87,0.17,1.5,0.0,3.88,0.89,47.62,0.0,68.21,48.39,0.0,0.0,25.81,3.89,37.63,33.33,0.0,1.0,0.0,0.0,18000000.0,Wingers
32,Premier League,2022/2023,Forward,Newcastle United,England,1889.0,31.0,3.0,0.0,12.0,1.1,0.24,0.86,0.81,0.76,0.19,11.5,7.78,0.43,3.01,1.67,1.34,0.05,1.15,1.57,0.57,0.0,0.0,0.14,0.0,0.24,0.19,0.0,0.72,0.22,0.52,1.48,1.0,0.62,0.95,9.31,3.44,1.72,0.05,2.0,40.0,-1.0,1.0,7.02,0.19,1.16,0.0,3.5,0.9,36.36,0.0,67.63,55.56,0.0,0.0,28.57,2.32,36.92,16.67,0.0,5.0,0.0,5473935.0,14500000.0,Strikers
28,Premier League,2021/2022,Defender,Aston Villa,England,1000.0,13.0,0.0,0.0,3.0,0.09,0.0,0.09,0.15,1.44,0.09,49.86,41.21,1.87,0.27,0.09,0.18,0.45,0.36,0.09,0.0,0.0,0.0,0.27,0.98,4.37,0.0,0.0,0.0,0.09,0.07,0.27,1.25,0.07,2.5,8.74,4.64,0.18,0.18,185.0,353.0,110.0,11.0,6.91,0.38,0.15,0.0,3.0,0.15,0.0,0.0,82.65,33.33,0.0,0.0,33.33,4.0,53.06,40.0,0.0,0.0,0.0,0.0,10000000.0,Central Defenders
33,Eredivisie,2021/2022,Defender,Cambuur,Suriname,2498.0,32.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.95,0.18,51.5,42.75,1.51,0.36,0.18,0.18,0.97,0.11,0.54,0.32,0.0,0.0,0.72,0.94,3.64,0.0,0.0,0.04,0.09,0.02,0.68,0.68,0.02,1.26,6.91,3.78,0.22,0.04,350.0,350.0,136.0,25.0,6.72,0.09,0.19,0.0,0.0,0.16,60.0,0.0,83.01,50.0,0.0,0.0,0.0,3.28,54.69,33.33,0.0,0.0,0.0,0.0,281250.0,Central Defenders
34,Eredivisie,2022/2023,Defender,Cambuur,Suriname,678.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.12,0.13,51.11,42.21,2.39,0.4,0.13,0.27,1.46,0.13,0.53,0.4,0.0,0.0,0.4,0.66,2.92,0.0,0.0,0.0,0.09,0.01,0.27,0.53,0.01,1.33,7.3,4.38,0.13,0.0,288.0,360.0,141.0,21.0,6.58,0.0,0.09,0.0,0.0,0.18,75.0,0.0,82.6,33.33,0.0,0.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0,80000.0,200000.0,Central Defenders
