full_name,age,league,season,position,Current Club,nationality,file_name,player_year_key,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur
João Pedro,31,Serie A,2020/2021,Forward,Cagliari,Italy,italy-serie-a-players-2020-to-2021-stats.csv,joao-pedro-2020/2021,3262.0,37.0,4.0,1.0,7.0,0.52,0.08,0.44,0.52,1.38,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,189.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4534375.0
João Pedro,31,Serie A,2021/2022,Forward,Cagliari,Italy,italy-serie-a-players-2021-to-2022-stats.csv,joao-pedro-2021/2022,3325.0,37.0,3.0,1.0,3.0,0.46,0.11,0.35,0.17,1.73,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,160.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6558333.333333333
João Silva,24,Liga NOS,2022/2023,Forward,Vitória Guimarães,Portugal,portugal-liga-nos-players-2022-to-2023-stats.csv,joao-silva-2022/2023,1609.0,30.0,0.0,0.0,13.0,0.22,0.11,0.11,0.12,0.78,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,117.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755000.0
João Teixeira,30,Liga NOS,2022/2023,Midfielder,GD Chaves,Portugal,portugal-liga-nos-players-2022-to-2023-stats.csv,joao-teixeira-2022/2023,2751.0,32.0,2.0,2.0,9.0,0.29,0.13,0.16,0.19,1.08,0.29,43.84,36.67,2.16,1.57,0.75,0.82,0.79,2.16,1.9,0.85,0.0,0.0,1.77,0.2,0.62,0.03,0.0,0.03,0.25,0.07,1.7,1.31,0.16,0.49,11.52,5.17,1.83,1.54,115.0,106.0,-1.0,3.0,7.05,4.94,1.75,0.0,9.6,0.78,44.83,0.0,83.64,47.92,0.0,0.0,10.42,4.94,44.89,29.75,0.0,0.0,0.0,110000.0,433750.0
João Victor,25,Ligue 1,2022/2023,Defender,Nantes,Brazil,france-ligue-1-players-2022-to-2023-stats.csv,joao-victor-2022/2023,840.0,13.0,0.0,0.0,3.0,0.11,0.11,0.0,0.0,1.39,0.54,39.96,32.14,2.04,0.21,0.0,0.21,1.61,0.43,1.07,0.75,0.0,0.0,1.07,0.11,3.0,0.11,0.0,0.0,0.15,0.01,1.29,1.07,0.01,1.18,9.21,5.25,0.86,0.32,296.0,134.0,110.0,13.0,6.67,0.62,0.62,0.0,0.0,0.15,70.0,0.0,80.43,0.0,0.0,0.0,0.0,3.77,56.98,37.5,0.0,0.0,0.0,0.0,1412500.0
João Vigário,27,Liga NOS,2020/2021,Forward,CD Nacional,Portugal,portugal-liga-nos-players-2020-to-2021-stats.csv,joao-vigario-2020/2021,1518.0,21.0,0.0,0.0,3.0,0.18,0.12,0.06,0.0,1.84,0.06,33.22,23.91,2.31,0.42,0.18,0.24,1.84,1.9,1.25,0.65,0.0,0.0,1.13,0.24,2.37,0.0,0.0,0.06,0.15,0.05,0.77,1.01,0.05,1.31,9.79,5.04,0.83,1.42,177.0,92.0,-1.0,11.0,7.06,3.95,0.67,0.0,7.0,0.19,52.38,0.0,71.96,42.86,0.0,0.0,14.29,4.05,51.52,28.92,0.0,0.0,0.0,0.0,383333.3333333333
João Virgínia,24,Eredivisie,2022/2023,Goalkeeper,Cambuur,Portugal,netherlands-eredivisie-players-2022-to-2023-stats.csv,joao-virginia-2022/2023,1530.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.53,0.06,33.53,20.59,0.06,0.0,0.0,0.0,0.0,0.06,0.12,0.06,4.53,6.18,0.0,0.0,1.06,0.0,0.59,0.0,0.05,0.0,0.06,0.06,0.0,0.18,0.65,0.41,0.0,0.0,331.0,249.0,94.0,31.0,7.15,0.0,0.0,4.53,0.0,0.0,50.0,73.33,61.4,0.0,49.0,0.0,0.0,0.41,63.64,0.0,0.0,0.0,0.0,460000.0,700000.0
Joãozinho,34,Liga NOS,2021/2022,Defender,GD Estoril Praia,Portugal,portugal-liga-nos-players-2021-to-2022-stats.csv,joaozinho-2021/2022,2889.0,33.0,0.0,0.0,11.0,0.12,0.09,0.03,0.06,1.09,0.28,39.52,30.49,1.4,0.19,0.06,0.12,1.03,0.72,0.75,0.28,0.0,0.0,0.56,0.37,1.87,0.0,0.0,0.06,0.14,0.03,0.59,0.84,0.03,0.69,5.85,2.96,0.22,0.9,219.0,138.0,57.0,15.0,6.91,3.48,0.21,0.0,6.0,0.12,37.5,0.0,77.15,33.33,0.0,0.0,16.67,2.88,50.53,25.22,0.0,0.0,0.0,0.0,450000.0
Joãozinho,34,Liga NOS,2022/2023,Defender,GD Estoril Praia,Portugal,portugal-liga-nos-players-2022-to-2023-stats.csv,joaozinho-2022/2023,2580.0,30.0,0.0,0.0,7.0,0.17,0.14,0.03,0.0,1.19,0.31,39.71,32.19,1.18,0.18,0.07,0.11,0.57,0.72,0.72,0.36,0.0,0.0,0.39,0.47,2.08,0.0,0.0,0.04,0.18,0.03,0.68,0.75,0.03,0.57,5.56,2.8,0.32,0.61,234.0,100.0,97.0,13.0,6.74,3.14,0.31,0.0,5.0,0.1,50.0,0.0,81.05,40.0,0.0,0.0,20.0,2.69,50.32,18.68,0.0,0.0,0.0,160000.0,333333.3333333333
Joël Drommel,26,Eredivisie,2021/2022,Goalkeeper,PSV,Netherlands,netherlands-eredivisie-players-2021-to-2022-stats.csv,joel-drommel-2021/2022,2340.0,26.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.12,0.0,23.73,15.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,3.08,0.08,0.0,0.62,0.0,0.27,0.0,0.04,0.0,0.0,0.0,0.0,0.23,0.38,0.27,0.0,0.0,283.0,277.0,42.0,23.0,6.55,0.0,0.0,1.85,0.0,0.0,0.0,60.0,65.15,0.0,30.0,0.0,0.0,0.27,70.0,0.0,0.0,0.0,0.0,0.0,3500000.0
