full_name,age,league,season,position,Current Club,nationality,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur,agg_labels,Position Clusters
Willian José,32,La Liga,2022/2023,Forward,Real Betis,Brazil,711.0,28.0,1.0,0.0,9.0,0.38,0.13,0.25,0.38,1.27,0.13,32.72,25.84,1.15,1.78,0.64,1.15,0.13,1.02,0.76,0.25,0.0,0.0,0.64,0.0,1.91,0.0,0.0,0.38,0.17,0.22,0.76,1.15,0.22,2.04,10.18,4.2,1.27,0.0,74.0,113.0,-1.0,8.0,5.71,0.15,0.37,0.0,7.0,0.33,33.33,0.0,78.99,35.71,0.0,0.0,14.29,1.22,41.25,0.0,0.0,0.0,0.0,3000000.0,6333333.333333333,1,Attacker / Winger
Willum Þór Willumsson,25,Eredivisie,2022/2023,Midfielder,Go Ahead Eagles,Iceland,2188.0,27.0,2.0,2.0,8.0,0.45,0.12,0.33,0.36,1.23,0.04,35.7,27.19,1.19,1.32,0.58,0.74,0.49,1.56,1.93,0.86,0.0,0.0,0.49,0.29,1.15,0.0,0.0,0.12,0.18,0.12,0.99,0.82,0.24,1.81,10.12,4.81,1.4,0.16,47.0,134.0,-1.0,1.0,6.87,0.59,1.26,0.0,4.0,0.67,44.68,0.0,76.15,43.75,0.0,1.0,25.0,4.33,47.56,25.0,0.0,0.0,0.0,70000.0,1500000.0,8,Wingers
Willy Boly,33,Premier League,2022/2023,Defender,Nottingham Forest,Ivory Coast,687.0,11.0,0.0,0.0,4.0,0.13,0.13,0.0,0.0,1.18,0.26,33.28,24.76,1.7,0.13,0.13,0.0,1.44,0.13,0.13,0.13,0.0,0.0,0.66,0.39,5.9,0.13,0.0,0.39,0.13,0.01,0.66,0.66,0.01,1.97,6.94,4.45,0.0,0.0,419.0,111.0,60.0,23.0,6.17,0.0,0.0,0.0,0.0,0.0,100.0,0.0,74.41,100.0,0.0,0.0,0.0,3.09,64.15,0.0,0.0,0.0,0.0,2600000.0,2500000.0,3,Centre Backs
Wilson Odobert,19,Ligue 1,2022/2023,Forward,Troyes,France,1763.0,32.0,0.0,0.0,1.0,0.31,0.1,0.2,0.18,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,139.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8333333.333333333,7,Young High Performers
Wissam Ben Yedder,33,Ligue 1,2022/2023,Forward,Monaco,France,2129.0,32.0,5.0,1.0,5.0,1.06,0.25,0.8,0.7,1.56,0.17,24.39,18.68,0.58,2.53,1.82,0.7,0.17,1.04,1.95,0.91,0.0,0.0,0.33,0.0,0.0,0.08,0.0,0.91,0.22,0.46,0.87,0.75,0.61,0.54,7.41,2.9,1.24,0.08,5.0,35.0,-1.0,1.0,7.13,0.53,0.94,0.0,3.21,0.53,46.81,0.0,76.57,72.13,0.0,2.0,31.15,2.19,39.11,11.76,2.0,4.0,2.0,7800000.0,12333333.333333334,5,MVPs
Wladimiro Falcone,28,Serie A,2022/2023,Goalkeeper,Lecce,Italy,3420.0,38.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.13,0.05,26.71,11.97,0.05,0.0,0.0,0.0,0.05,0.08,0.0,0.0,2.97,4.18,0.0,0.0,1.32,0.0,0.76,0.0,0.03,0.0,0.13,0.03,0.0,0.34,0.61,0.53,0.0,0.0,395.0,387.0,86.0,12.0,6.9,0.0,0.0,2.97,0.0,0.0,0.0,71.07,44.83,0.0,75.0,0.0,0.0,0.53,86.96,0.0,0.0,0.0,0.0,83720.0,5000000.0,4,Goalkeepers
Wojciech Szczęsny,33,Serie A,2022/2023,Goalkeeper,Juventus,Poland,2473.0,28.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.87,0.0,23.95,18.23,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.04,2.47,3.42,0.04,0.0,0.62,0.0,0.44,0.0,0.03,0.0,0.04,0.0,0.0,0.36,0.51,0.47,0.0,0.0,325.0,307.0,36.0,19.0,7.02,0.0,0.0,2.43,0.0,0.0,100.0,72.34,76.14,0.0,35.0,0.0,0.0,0.46,92.86,0.0,0.0,0.0,0.0,11960000.0,9000000.0,4,Goalkeepers
Woo-Yeong Jeong,24,Bundesliga,2022/2023,Midfielder,Freiburg,South Korea,636.0,25.0,0.0,0.0,9.0,0.28,0.14,0.14,0.0,1.7,0.28,33.62,27.04,1.14,1.29,0.57,0.72,0.14,1.0,2.86,1.14,0.0,0.0,0.43,0.14,1.0,0.14,0.0,0.14,0.17,0.13,1.0,1.72,0.13,0.57,10.73,3.86,0.86,0.29,156.0,109.0,-1.0,8.0,6.29,0.36,0.24,0.0,9.0,0.2,40.0,0.0,80.43,44.44,0.0,1.0,11.11,1.08,36.0,22.22,0.0,0.0,0.0,382720.0,3666666.6666666665,8,Wingers
Wout Faes,25,Premier League,2022/2023,Defender,Leicester City,Belgium,2787.0,31.0,0.0,0.0,7.0,0.1,0.06,0.03,0.0,1.61,0.19,57.06,48.95,1.84,0.37,0.1,0.27,1.37,0.3,0.33,0.23,0.0,0.0,0.43,1.07,3.47,0.0,0.0,0.0,0.14,0.03,0.53,0.77,0.03,1.87,7.27,4.47,0.17,0.0,260.0,198.0,134.0,11.0,6.94,0.0,0.17,0.0,11.0,0.27,70.0,0.0,85.79,27.27,0.0,0.0,9.09,4.47,61.47,0.0,0.0,0.0,0.0,2980499.0,20000000.0,3,Centre Backs
Wout Weghorst,31,Premier League,2022/2023,Forward,Manchester United,Netherlands,797.0,17.0,0.0,0.0,7.0,0.11,0.11,0.0,0.0,1.02,0.11,23.49,17.39,1.13,1.24,0.56,0.68,0.56,1.58,1.13,0.34,0.0,0.0,0.9,0.23,1.02,0.0,0.0,0.56,0.16,0.04,1.02,1.58,0.04,1.58,10.95,4.07,1.36,0.0,265.0,134.0,-1.0,15.0,6.58,0.0,0.71,0.0,0.0,0.35,30.0,0.0,74.04,45.45,0.0,0.0,0.0,2.12,37.11,0.0,0.0,0.0,0.0,0.0,10000000.0,8,Wingers
