full_name,age,league,season,position,Current Club,nationality,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur,agg_labels,Position Clusters
Gaetano Castrovilli,27,Serie A,2022/2023,Midfielder,Fiorentina,Italy,716.0,15.0,0.0,0.0,4.0,0.38,0.13,0.25,0.0,0.88,0.38,28.28,22.88,1.26,1.38,1.01,0.38,0.75,1.01,1.63,0.75,0.0,0.0,0.88,0.13,0.63,0.0,0.0,0.13,0.16,0.21,1.51,1.51,0.21,0.38,9.55,3.9,1.13,0.38,68.0,117.0,-1.0,11.0,6.78,0.8,0.6,0.0,5.5,0.2,46.15,0.0,80.89,72.73,0.0,0.0,18.18,2.07,40.79,25.0,0.0,0.0,0.0,0.0,8666666.666666666,1,Attacker / Winger
Gaetano Oristanio,21,Eredivisie,2022/2023,Forward,Volendam,Italy,1962.0,27.0,0.0,0.0,4.0,0.18,0.14,0.05,0.0,1.88,0.28,17.79,12.99,1.19,2.01,0.87,1.14,0.78,0.96,4.66,2.15,0.0,0.0,0.96,0.14,0.23,0.05,0.0,0.37,0.11,0.11,2.61,1.88,0.11,1.28,16.51,7.23,2.52,0.18,215.0,110.0,-1.0,14.0,6.66,1.26,2.04,0.0,44.0,0.93,46.08,0.0,73.01,43.18,0.0,0.0,2.27,5.85,43.77,11.76,0.0,0.0,0.0,30000.0,2000000.0,0,Defensive Midfielders
Gastón Álvarez,23,La Liga,2022/2023,Defender,Getafe CF,Uruguay,1502.0,22.0,0.0,0.0,10.0,0.12,0.0,0.12,0.27,0.9,0.6,24.87,15.64,2.22,0.24,0.12,0.12,0.9,0.24,0.9,0.36,0.0,0.0,1.08,0.3,2.04,0.0,0.0,0.0,0.04,0.07,0.72,1.62,0.07,1.86,10.37,5.15,0.18,0.24,150.0,395.0,43.0,5.0,6.66,1.05,0.14,0.0,2.0,0.09,40.0,0.0,62.89,50.0,0.0,0.0,50.0,3.91,49.71,17.39,0.0,0.0,0.0,1050000.0,7500000.0,0,Defensive Midfielders
Gauthier Gallon,30,Ligue 1,2022/2023,Goalkeeper,Troyes,France,2668.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.17,27.09,16.53,0.07,0.0,0.0,0.0,0.03,0.03,0.0,0.0,3.85,6.04,0.07,0.0,1.21,0.0,0.61,0.0,0.04,0.0,0.17,0.07,0.0,0.47,0.78,0.67,0.0,0.0,433.0,435.0,174.0,21.0,6.82,0.0,0.0,3.8,0.0,0.0,0.0,63.69,61.02,0.0,72.0,0.0,0.0,0.67,86.96,0.0,0.0,0.0,0.0,140000.0,1750000.0,4,Goalkeepers
Gauthier Hein,27,Ligue 1,2022/2023,Forward,Auxerre,France,1886.0,35.0,0.0,0.0,7.0,0.1,0.0,0.1,0.1,1.67,0.05,31.56,26.59,1.29,1.53,0.48,1.05,0.24,1.38,2.29,0.91,0.0,0.0,1.48,0.0,0.43,0.19,0.0,0.1,0.09,0.11,0.67,1.0,0.11,0.19,9.45,3.06,1.15,0.81,160.0,411.0,-1.0,6.0,6.54,2.83,0.69,0.0,16.0,0.63,39.58,0.0,84.27,31.25,0.0,0.0,6.25,1.83,32.32,17.17,0.0,0.0,0.0,660000.0,2250000.0,0,Defensive Midfielders
Gavi,19,La Liga,2022/2023,Midfielder,FC Barcelona,Spain,2540.0,36.0,0.0,0.0,25.0,0.21,0.14,0.07,0.0,0.35,0.35,41.03,35.94,1.66,0.57,0.28,0.28,0.64,1.35,1.77,0.78,0.0,0.0,1.2,0.18,0.74,0.0,0.0,0.28,0.21,0.06,2.58,2.62,0.06,1.38,13.49,6.41,1.17,0.21,205.0,105.0,-1.0,10.0,6.9,1.06,0.92,0.0,8.0,0.22,44.0,0.0,87.58,50.0,0.0,0.0,12.5,5.03,47.51,15.79,0.0,0.0,0.0,6800000.0,90000000.0,0,Defensive Midfielders
Gavin Bazunu,22,Premier League,2022/2023,Goalkeeper,Southampton,Republic of Ireland,2880.0,32.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.66,0.0,32.19,17.65,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.0,2.23,3.97,0.0,0.0,1.16,0.0,0.39,0.0,0.04,0.0,0.06,0.03,0.0,0.39,0.58,0.55,0.0,0.0,340.0,343.0,142.0,22.0,6.6,0.0,0.0,2.23,0.0,0.0,0.0,56.1,54.81,0.0,55.0,0.0,0.0,0.55,94.44,0.0,0.0,0.0,0.0,2442949.0,16500000.0,4,Goalkeepers
Gaëtan Laborde,29,Ligue 1,2022/2023,Forward,Nice,France,2762.0,37.0,0.0,1.0,11.0,0.59,0.1,0.49,0.54,0.94,0.0,22.84,16.1,1.53,2.12,1.53,0.59,0.33,1.63,1.63,0.75,0.0,0.0,0.78,0.07,0.46,0.1,0.0,0.23,0.15,0.36,0.94,0.88,0.38,1.76,10.59,4.99,1.01,0.62,21.0,140.0,-1.0,2.0,7.21,1.97,0.84,0.0,4.33,0.49,46.0,0.0,70.47,72.31,0.0,0.0,23.08,4.14,47.08,26.03,0.0,1.0,0.0,3600000.0,15500000.0,6,Strikers
Gaëtan Perrin,27,Ligue 1,2022/2023,Midfielder,Auxerre,France,1390.0,37.0,1.0,0.0,6.0,0.26,0.06,0.19,0.13,1.62,0.06,26.21,19.77,1.11,1.3,0.65,0.65,0.59,1.63,5.4,3.71,0.0,0.0,1.37,0.0,0.59,0.0,0.0,0.26,0.14,0.12,1.43,1.11,0.17,0.91,15.35,7.15,2.86,0.72,101.0,203.0,-1.0,5.0,6.69,0.84,1.19,0.0,6.67,0.27,68.67,0.0,75.43,50.0,0.0,0.0,15.0,2.97,46.61,35.48,0.0,0.0,0.0,193000.0,1600000.0,1,Attacker / Winger
Gaïus Makouta,26,Liga NOS,2022/2023,Midfielder,Boavista FC,Congo,2744.0,32.0,0.0,0.0,5.0,0.26,0.2,0.07,0.06,1.48,0.3,41.72,33.91,1.28,0.82,0.26,0.56,1.28,0.52,1.9,1.02,0.0,0.0,0.66,0.16,1.34,0.0,0.0,0.03,0.21,0.07,1.67,1.21,0.07,2.13,11.51,6.1,1.41,0.13,191.0,63.0,-1.0,10.0,6.8,0.81,1.34,0.0,12.5,0.53,53.45,0.0,81.29,32.0,0.0,0.0,8.0,5.81,52.99,15.38,0.0,0.0,0.0,200000.0,3000000.0,0,Defensive Midfielders
Gedeon Kalulu,26,Ligue 1,2022/2023,Defender,Lorient,France,2442.0,29.0,0.0,0.0,5.0,0.15,0.15,0.0,0.0,1.44,0.22,43.12,35.23,2.4,0.26,0.07,0.18,1.0,0.85,1.14,0.63,0.0,0.0,0.59,0.15,2.58,0.0,0.0,0.07,0.2,0.01,0.66,1.11,0.01,1.0,8.48,4.68,0.66,0.26,381.0,88.0,120.0,26.0,6.84,0.97,0.62,0.0,0.0,0.17,54.84,0.0,81.71,28.57,0.0,0.0,0.0,4.38,55.22,25.0,0.0,0.0,0.0,495000.0,4833333.333333333,2,Central Midfielders
Genki Haraguchi,32,Bundesliga,2022/2023,Midfielder,Stuttgart,Japan,1251.0,22.0,0.0,0.0,4.0,0.14,0.14,0.0,0.0,1.65,0.07,31.39,25.36,2.01,0.43,0.14,0.29,0.65,1.01,1.29,0.86,0.0,0.0,1.01,0.22,1.08,0.0,0.0,0.0,0.18,0.01,2.01,0.57,0.01,1.01,9.62,5.89,0.57,0.14,301.0,108.0,-1.0,20.0,6.42,0.5,0.36,0.0,0.0,0.18,66.67,0.0,80.78,33.33,0.0,0.0,0.0,3.73,61.19,18.18,0.0,0.0,0.0,715269.0,850000.0,2,Central Midfielders
Geoffrey Kondogbia,31,La Liga,2022/2023,Midfielder,Atlético Madrid,France,999.0,20.0,0.0,0.0,7.0,0.18,0.18,0.0,0.0,0.81,0.45,56.55,50.62,3.51,0.99,0.0,0.99,2.25,0.45,0.54,0.36,0.0,0.0,0.72,0.09,0.99,0.0,0.0,0.18,0.23,0.03,1.71,1.53,0.03,0.99,10.7,6.47,0.9,0.0,403.0,68.0,-1.0,22.0,5.91,0.0,0.5,0.0,0.0,0.55,66.67,0.0,89.51,0.0,0.0,0.0,0.0,3.6,60.5,0.0,0.0,0.0,0.0,6900000.0,15666666.666666666,2,Central Midfielders
George Cox,26,Eredivisie,2022/2023,Defender,Fortuna Sittard,England,2163.0,27.0,0.0,0.0,6.0,0.04,0.04,0.0,0.0,1.5,0.21,30.36,22.25,1.54,0.54,0.08,0.46,1.91,0.83,0.83,0.33,0.0,0.0,0.87,0.75,1.58,0.04,0.0,0.08,0.1,0.02,1.0,0.71,0.02,0.58,6.2,3.45,0.29,1.21,323.0,211.0,91.0,25.0,6.82,3.93,0.26,0.0,0.0,0.41,40.0,0.0,73.29,15.38,0.0,0.0,0.0,3.07,55.7,27.36,0.0,0.0,0.0,71999.0,825000.0,2,Central Midfielders
Georginio Rutter,21,Bundesliga,2022/2023,Forward,Hoffenheim,France,1010.0,15.0,0.0,0.0,4.0,0.36,0.18,0.18,0.2,1.34,0.18,13.01,8.38,0.62,2.05,1.25,0.8,0.45,0.89,6.06,2.85,0.0,0.0,0.18,0.18,0.53,0.0,0.0,1.51,0.16,0.2,1.69,1.51,0.2,0.89,15.06,5.97,2.23,0.09,127.0,84.0,-1.0,6.0,6.68,0.73,1.67,0.0,11.5,0.6,47.06,0.0,64.38,60.87,0.0,1.0,8.7,4.47,39.64,9.09,0.0,0.0,0.0,897000.0,20000000.0,1,Attacker / Winger
Georginio Wijnaldum,33,Serie A,2022/2023,Midfielder,Roma,Netherlands,770.0,14.0,0.0,0.0,7.0,0.23,0.0,0.23,0.0,1.05,0.0,23.11,19.38,0.47,1.75,0.47,1.28,0.35,0.93,2.57,1.28,0.0,0.0,0.23,0.12,0.35,0.12,0.0,0.12,0.09,0.2,1.05,0.35,0.2,1.52,7.59,4.32,0.82,0.23,76.0,406.0,-1.0,9.0,6.81,0.29,0.5,0.0,7.5,0.79,50.0,0.0,83.84,26.67,0.0,1.0,13.33,2.64,56.92,50.0,0.0,0.0,0.0,6410000.0,7000000.0,8,Wingers
Georgios Kyriakopoulos,28,Serie A,2022/2023,Defender,Bologna,Greece,1476.0,24.0,0.0,0.0,7.0,0.24,0.18,0.06,0.13,1.22,0.3,39.27,32.07,2.01,0.91,0.43,0.49,0.91,1.4,2.62,1.46,0.0,0.0,1.04,0.18,1.04,0.0,0.0,0.0,0.23,0.07,1.52,1.04,0.07,0.73,11.77,5.73,1.59,1.34,228.0,73.0,107.0,12.0,6.87,3.21,1.08,0.0,15.0,0.33,55.81,0.0,81.68,46.67,0.0,1.0,6.67,3.92,48.7,28.57,0.0,0.0,0.0,496016.0,3900000.0,0,Defensive Midfielders
Gerard Deulofeu,29,Serie A,2022/2023,Forward,Udinese,Spain,1219.0,16.0,0.0,0.0,6.0,0.59,0.44,0.15,0.0,1.11,0.07,37.83,30.44,0.59,2.07,0.89,1.18,0.15,3.55,2.81,1.26,0.0,0.0,0.67,0.07,0.07,0.3,0.0,0.59,0.46,0.17,0.81,0.59,0.17,0.07,6.95,2.73,1.18,1.4,129.0,5.0,-1.0,10.0,7.13,3.69,1.0,0.0,14.0,1.0,44.74,0.0,80.47,42.86,0.0,0.0,7.14,2.31,39.36,32.2,0.0,0.0,0.0,1323407.0,10000000.0,1,Attacker / Winger
Gerard Gumbau,29,La Liga,2022/2023,Midfielder,Elche CF,Spain,2745.0,35.0,0.0,0.0,4.0,0.23,0.2,0.03,0.0,1.64,0.36,41.34,33.67,1.54,1.18,0.59,0.59,0.85,2.33,0.52,0.23,0.0,0.0,0.98,0.26,1.21,0.0,0.0,0.07,0.27,0.07,0.69,1.64,0.07,0.72,7.38,3.18,0.39,2.36,259.0,45.0,-1.0,10.0,7.14,4.63,0.34,0.0,36.0,0.51,43.75,0.0,81.44,50.0,0.0,0.0,2.78,2.77,43.11,44.44,0.0,0.0,0.0,210000.0,3500000.0,0,Defensive Midfielders
Gerard Moreno,31,La Liga,2022/2023,Forward,Villarreal,Spain,1229.0,21.0,1.0,1.0,9.0,0.73,0.22,0.51,0.73,0.66,0.29,33.56,25.22,0.8,2.63,1.61,1.02,0.37,1.32,3.29,1.83,0.0,0.0,0.22,0.15,0.8,0.07,0.0,0.95,0.23,0.3,1.02,0.8,0.4,1.32,10.16,4.97,1.46,0.07,16.0,35.0,-1.0,2.0,7.04,0.38,0.95,0.0,5.14,0.67,55.56,0.0,75.16,61.11,0.0,0.0,19.44,3.24,48.92,12.5,0.0,0.0,0.0,7500000.0,20000000.0,6,Strikers
Germán Pezzella,32,La Liga,2022/2023,Defender,Real Betis,Argentina,2516.0,31.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.97,0.36,45.89,39.63,1.47,0.29,0.0,0.29,1.72,0.11,0.21,0.14,0.0,0.0,0.43,0.54,4.51,0.0,0.0,0.04,0.1,0.01,0.61,0.93,0.01,2.54,7.26,4.76,0.04,0.0,406.0,403.0,56.0,23.0,6.96,0.06,0.03,0.0,0.0,0.26,66.67,0.0,86.36,0.0,0.0,0.0,0.0,4.29,65.52,0.0,0.0,0.0,0.0,4170000.0,5000000.0,3,Centre Backs
Gernot Trauner,31,Eredivisie,2022/2023,Defender,Feyenoord,Austria,1606.0,19.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.95,0.22,70.89,63.27,1.96,0.5,0.11,0.39,1.51,0.34,0.17,0.11,0.0,0.0,0.5,0.67,2.91,0.0,0.0,0.0,0.12,0.02,0.22,0.73,0.02,2.69,8.24,4.99,0.34,0.0,340.0,330.0,27.0,26.0,7.12,0.0,0.32,0.0,0.0,0.37,66.67,0.0,89.25,22.22,0.0,0.0,0.0,4.68,60.54,0.0,0.0,0.0,0.0,840338.0,4750000.0,3,Centre Backs
Gerrit Holtmann,28,Bundesliga,2022/2023,Midfielder,Bochum,Germany,934.0,23.0,0.0,0.0,2.0,0.19,0.1,0.1,0.0,2.22,0.0,19.97,13.79,1.35,2.12,1.35,0.77,0.29,0.96,3.67,1.45,0.0,0.0,0.77,0.1,0.29,0.39,0.0,0.29,0.07,0.14,0.68,0.68,0.14,1.35,11.86,4.82,1.54,0.48,182.0,151.0,-1.0,11.0,6.43,2.3,0.7,0.0,22.0,0.35,39.47,0.0,69.08,63.64,0.0,0.0,4.55,2.17,40.65,9.43,0.0,0.0,0.0,488978.0,2575000.0,8,Wingers
Gerrit Nauber,31,Eredivisie,2022/2023,Defender,Go Ahead Eagles,Germany,1123.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.44,0.08,44.0,37.59,1.04,0.4,0.08,0.32,1.44,0.0,0.08,0.08,0.0,0.0,0.24,0.72,4.73,0.0,0.0,0.0,0.08,0.01,0.32,0.48,0.01,1.52,5.61,2.97,0.08,0.0,285.0,345.0,87.0,15.0,5.72,0.16,0.05,0.0,0.0,0.21,100.0,0.0,85.43,20.0,0.0,0.0,0.0,1.95,52.86,0.0,0.0,0.0,0.0,100000.0,475000.0,3,Centre Backs
Gerson,26,Ligue 1,2022/2023,Midfielder,Olympique Marseille,Brazil,418.0,10.0,0.0,0.0,4.0,0.43,0.0,0.43,0.85,0.86,0.22,38.23,31.58,1.5,1.72,1.29,0.43,0.21,0.86,1.07,0.43,0.0,0.0,0.43,0.0,0.86,0.0,0.0,0.21,0.09,0.34,3.44,3.44,0.34,1.72,16.11,7.09,3.22,0.0,30.0,401.0,-1.0,12.0,6.76,0.3,1.5,0.0,4.0,0.2,40.0,0.0,82.58,75.0,0.0,0.0,25.0,3.3,44.0,0.0,0.0,0.0,0.0,3077000.0,15500000.0,8,Wingers
Gerzino Nyamsi,27,Ligue 1,2022/2023,Defender,Strasbourg,France,1580.0,20.0,0.0,0.0,1.0,0.11,0.06,0.06,0.0,1.88,0.34,47.79,40.27,1.65,0.74,0.4,0.34,0.57,0.17,0.63,0.46,0.0,0.0,0.11,0.63,3.13,0.0,0.0,0.0,0.13,0.07,0.11,2.05,0.07,2.05,7.86,4.27,0.23,0.0,206.0,214.0,159.0,12.0,6.62,0.1,0.2,0.0,13.0,0.3,72.73,0.0,84.27,53.85,0.0,0.0,7.69,3.75,54.35,0.0,0.0,0.0,0.0,450000.0,5000000.0,3,Centre Backs
Gerónimo Rulli,31,Eredivisie,2022/2023,Goalkeeper,Ajax,Argentina,1710.0,19.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.05,0.05,39.09,31.98,0.05,0.0,0.0,0.0,0.05,0.05,0.11,0.11,2.33,3.34,0.11,0.0,0.9,0.0,0.32,0.0,0.06,0.0,0.05,0.05,0.0,0.69,1.06,0.9,0.0,0.0,267.0,279.0,41.0,16.0,7.36,0.0,0.0,2.44,0.0,0.0,100.0,69.84,81.82,0.0,24.0,0.0,0.0,0.94,85.0,0.0,0.0,0.0,0.0,0.0,9000000.0,4,Goalkeepers
Gerónimo Rulli,31,La Liga,2022/2023,Goalkeeper,Villarreal,Argentina,1260.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.71,0.07,33.79,28.29,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.29,4.0,0.0,0.0,0.71,0.0,0.29,0.0,0.07,0.0,0.07,0.0,0.0,0.21,0.29,0.29,0.0,0.0,322.0,348.0,16.0,22.0,7.38,0.0,0.0,3.29,0.0,0.0,0.0,82.14,83.72,0.0,36.0,0.0,0.0,0.29,100.0,0.0,0.0,0.0,0.0,5420000.0,9000000.0,4,Goalkeepers
Giacomo Bonaventura,34,Serie A,2022/2023,Midfielder,Fiorentina,Italy,1916.0,30.0,0.0,0.0,8.0,0.28,0.05,0.23,0.18,1.13,0.28,40.49,34.7,1.5,1.22,0.71,0.52,0.71,1.6,1.88,0.99,0.0,0.0,0.56,0.0,0.14,0.0,0.0,0.09,0.19,0.19,1.88,1.13,0.19,0.66,9.92,5.03,1.32,0.47,75.0,219.0,-1.0,4.0,6.9,1.57,0.93,0.0,5.2,0.37,52.5,0.0,85.71,57.69,0.0,1.0,19.23,3.57,50.71,21.28,0.0,0.0,0.0,2810600.0,2750000.0,0,Defensive Midfielders
Giacomo Quagliata,24,Serie A,2022/2023,Defender,Cremonese,Italy,720.0,20.0,0.0,0.0,4.0,0.13,0.13,0.0,0.0,1.88,0.25,27.79,20.78,1.25,0.63,0.13,0.5,1.5,1.63,2.63,1.25,0.0,0.0,0.63,0.25,0.88,0.13,0.0,0.0,0.18,0.02,1.63,1.63,0.02,0.25,10.39,4.38,0.75,1.88,431.0,106.0,188.0,27.0,6.45,2.7,0.3,0.0,0.0,0.2,47.62,0.0,74.77,20.0,0.0,0.0,0.0,1.75,42.17,27.78,0.0,0.0,0.0,191360.0,1850000.0,2,Central Midfielders
Giacomo Raspadori,24,Serie A,2022/2023,Forward,Napoli,Italy,945.0,26.0,0.0,0.0,10.0,0.38,0.19,0.19,0.24,0.86,0.1,40.76,33.14,0.86,2.48,1.52,0.95,0.38,1.62,1.71,0.76,0.0,0.0,0.57,0.0,0.19,0.0,0.0,0.1,0.24,0.22,1.14,0.67,0.22,0.29,7.33,3.05,1.52,0.57,98.0,66.0,-1.0,12.0,6.84,1.27,0.62,0.0,13.0,0.38,44.44,0.0,81.31,61.54,0.0,0.0,7.69,1.23,41.56,18.18,0.0,0.0,0.0,2500000.0,33500000.0,1,Attacker / Winger
Giangiacomo Magnani,28,Serie A,2022/2023,Defender,Hellas Verona,Italy,1618.0,25.0,0.0,0.0,5.0,0.06,0.06,0.0,0.0,1.17,0.5,28.77,21.25,1.94,0.35,0.12,0.23,1.29,0.29,0.29,0.23,0.0,0.0,0.47,0.88,4.46,0.0,0.0,0.0,0.09,0.01,0.47,1.29,0.01,1.94,7.57,4.52,0.18,0.12,412.0,202.0,95.0,24.0,6.76,0.17,0.12,0.0,0.0,0.17,80.0,0.0,73.88,33.33,0.0,0.0,0.0,3.21,59.69,50.0,0.0,0.0,0.0,1136200.0,2933333.3333333335,3,Centre Backs
Gianluca Caprari,30,Serie A,2022/2023,Forward,Monza,Italy,2466.0,37.0,1.0,0.0,10.0,0.26,0.07,0.18,0.3,1.5,0.26,36.33,30.23,0.58,1.17,0.51,0.66,0.29,1.13,3.03,1.35,0.0,0.0,0.66,0.04,0.11,0.0,0.0,0.33,0.14,0.13,1.83,1.24,0.15,0.26,9.64,4.02,1.28,0.77,100.0,196.0,-1.0,3.0,6.84,2.08,0.95,0.0,6.4,0.49,44.58,0.0,83.22,43.75,0.0,0.0,15.62,2.97,41.67,27.27,0.0,1.0,0.0,777400.0,6500000.0,0,Defensive Midfielders
Gianluca Mancini,27,Serie A,2022/2023,Defender,Roma,Italy,2868.0,35.0,0.0,0.0,13.0,0.09,0.06,0.03,0.0,0.85,0.25,49.68,40.83,1.1,0.56,0.16,0.41,1.38,0.47,0.28,0.13,0.0,0.0,0.47,0.53,2.04,0.06,0.0,0.06,0.13,0.04,0.78,1.22,0.04,1.76,6.59,3.77,0.19,0.19,276.0,206.0,30.0,12.0,6.86,0.77,0.17,0.0,18.0,0.37,44.44,0.0,82.19,27.78,0.0,0.0,5.56,3.43,57.14,22.22,0.0,0.0,0.0,3750365.0,19000000.0,3,Centre Backs
Gianluca Scamacca,25,Premier League,2022/2023,Forward,West Ham United,Italy,930.0,16.0,0.0,0.0,3.0,0.29,0.0,0.29,0.21,1.16,0.29,16.95,11.33,0.87,2.13,0.97,1.16,0.39,1.26,1.07,0.48,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.58,0.08,0.25,0.97,1.55,0.25,1.74,9.88,4.07,1.74,0.1,58.0,406.0,-1.0,8.0,6.82,0.06,1.12,0.0,7.33,0.75,45.45,0.0,66.86,45.45,0.0,0.0,13.64,2.62,41.18,100.0,0.0,0.0,0.0,5365040.0,24750000.0,8,Wingers
Gianluigi Donnarumma,25,Ligue 1,2022/2023,Goalkeeper,PSG,Italy,3410.0,38.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.08,20.3,17.08,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,3.27,4.33,0.03,0.0,0.66,0.0,0.34,0.0,0.04,0.0,0.11,0.03,0.0,0.26,0.45,0.37,0.0,0.0,327.0,316.0,44.0,19.0,7.08,0.0,0.0,3.26,0.0,0.0,100.0,75.61,84.14,0.0,74.0,0.0,0.0,0.37,82.35,0.0,0.0,0.0,0.0,10992000.0,42500000.0,4,Goalkeepers
Gianmarco Ferrari,31,Serie A,2022/2023,Defender,Sassuolo,Italy,2218.0,33.0,0.0,0.0,8.0,0.04,0.0,0.04,0.07,1.34,0.2,51.64,44.63,0.94,0.29,0.04,0.24,0.98,0.16,0.04,0.0,0.0,0.0,0.29,0.77,3.3,0.0,0.0,0.0,0.09,0.03,1.26,0.94,0.03,1.92,6.36,4.08,0.08,0.04,265.0,273.0,122.0,13.0,6.32,0.19,0.06,0.0,7.0,0.19,0.0,0.0,86.42,14.29,0.0,0.0,14.29,3.12,64.1,16.67,0.0,0.0,0.0,1149305.0,1800000.0,3,Centre Backs
Gideon Mensah,25,Ligue 1,2022/2023,Defender,Auxerre,Ghana,2264.0,26.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.79,0.2,45.72,36.33,3.14,0.16,0.04,0.12,1.47,1.03,2.23,1.03,0.0,0.0,1.15,0.36,1.55,0.0,0.0,0.04,0.12,0.01,0.72,1.11,0.01,0.87,10.49,5.76,0.56,0.68,300.0,306.0,150.0,18.0,6.81,2.54,0.54,0.0,0.0,0.12,46.43,0.0,79.48,25.0,0.0,0.0,0.0,5.58,54.92,25.76,0.0,0.0,0.0,365000.0,2500000.0,2,Central Midfielders
Gijs Smal,26,Eredivisie,2022/2023,Defender,Twente,Netherlands,3331.0,38.0,0.0,0.0,19.0,0.32,0.27,0.05,0.05,0.7,0.05,58.98,47.49,2.25,0.89,0.47,0.42,1.25,1.83,1.0,0.5,0.0,0.0,0.86,0.33,1.11,0.0,0.0,0.06,0.33,0.07,0.72,0.47,0.07,0.81,7.69,4.28,0.5,0.89,216.0,28.0,9.0,8.0,7.38,4.35,0.49,0.0,16.0,0.41,50.0,0.0,80.51,53.12,0.0,0.0,6.25,4.16,55.6,19.88,0.0,0.0,0.0,131611.0,5333333.333333333,0,Defensive Midfielders
Gil Dias,27,Bundesliga,2022/2023,Midfielder,Stuttgart,Portugal,403.0,7.0,0.0,0.0,1.0,0.22,0.0,0.22,0.0,1.79,0.0,36.85,25.68,1.79,1.34,0.89,0.45,0.45,1.79,4.02,2.23,0.0,0.0,2.01,0.0,0.45,0.0,0.0,0.45,0.13,0.19,1.12,1.34,0.19,1.34,16.08,6.48,2.68,0.45,105.0,239.0,-1.0,11.0,6.85,0.86,1.71,0.0,6.0,0.29,55.56,0.0,69.7,66.67,0.0,0.0,16.67,4.14,40.28,33.33,0.0,0.0,0.0,0.0,1500000.0,1,Attacker / Winger
Giorgi Aburjania,29,Liga NOS,2022/2023,Midfielder,Gil Vicente,Georgia,1607.0,27.0,0.0,0.0,6.0,0.06,0.06,0.0,0.0,0.9,0.34,53.59,44.3,2.07,0.56,0.11,0.45,0.56,0.95,1.01,0.62,0.0,0.0,1.45,0.45,0.45,0.0,0.0,0.0,0.15,0.02,1.62,1.12,0.02,0.84,9.79,5.15,1.01,0.06,374.0,179.0,-1.0,19.0,6.57,0.37,0.67,0.0,0.0,0.3,61.11,0.0,82.67,20.0,0.0,0.0,0.0,3.41,52.57,10.0,0.0,0.0,0.0,132992.0,950000.0,2,Central Midfielders
Giorgi Makaridze,33,Liga NOS,2022/2023,Goalkeeper,CS Marítimo,Georgia,540.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,0.17,31.67,22.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.33,0.0,0.0,0.33,0.0,0.0,0.0,0.05,0.0,0.17,0.0,0.0,0.0,0.67,0.5,0.0,0.0,286.0,252.0,137.0,16.0,6.48,0.0,0.0,1.5,0.0,0.0,0.0,45.0,69.47,0.0,4.0,0.0,0.0,0.5,75.0,0.0,0.0,0.0,0.0,0.0,250000.0,4,Goalkeepers
