U1,U2,Position
7.145064,8.219697,Central Midfielders
10.958969,5.9316425,Defensive Midfielders / Wing Backs
9.8075485,6.4268117,Defensive Midfielders / Wing Backs
7.813908,7.9084573,Defensive Midfielders / Wing Backs
7.658482,7.7746086,Central Midfielders
10.278201,3.9289317,Attacking Midfielders
9.930761,3.954975,Attacking Midfielders
10.292929,1.4832392,Wingers
9.501837,1.939598,Wingers
-4.6838226,13.274456,Young High Performers
6.109131,8.498591,Central Midfielders
6.2386312,8.482058,Central Midfielders
6.5234885,8.874346,Central Midfielders
10.290359,1.9033892,Wingers
10.967915,1.4892087,Strikers
14.242453,-8.489213,Strikers - Goalscorers
7.0695877,6.6653786,Central Midfielders
12.283071,6.3696475,Defensive Midfielders / Wing Backs
5.9052176,8.318773,Central Midfielders
6.1504593,9.183958,Central Defenders
6.4053793,10.3965,Central Defenders
10.788715,2.8653781,Wingers
-6.291287,0.6485998,Goalkeepers
-6.247235,0.5181514,Goalkeepers
-5.8191133,0.15250038,Goalkeepers
5.652809,9.54524,Central Midfielders
9.615544,1.8566821,Wingers
7.2741356,10.0100355,Central Defenders
6.366585,10.673819,Central Midfielders
10.330598,2.2599134,Wingers
10.318455,2.0922217,Wingers
10.20299,2.7112434,Attacking Midfielders
10.741896,1.6178066,Wingers
9.800899,2.331026,Wingers
7.809836,10.304725,Central Defenders
5.505206,9.57908,Central Midfielders
10.953718,5.8822165,Attacking Midfielders
5.325547,9.285633,Central Midfielders
10.343101,8.061124,Central Defenders
9.694718,9.344829,Central Defenders
9.091022,1.5922381,Wingers
11.572313,8.937636,Central Defenders
-4.811197,14.959979,Young High Performers
-4.5299096,15.474077,Young High Performers
10.888779,4.1193886,Attacking Midfielders
12.008416,3.626868,Attacking Midfielders
7.230643,11.086456,Central Defenders
7.09756,8.276314,Central Midfielders
11.254376,3.7152445,Attacking Midfielders
6.313237,7.172694,Central Midfielders
-4.6892486,13.185102,Young High Performers
6.8853536,9.611384,Central Midfielders
6.688054,10.23739,Central Defenders
10.918919,8.885552,Central Defenders
10.484873,8.890969,Central Defenders
11.447534,2.9699004,Attacking Midfielders
11.47181,1.2635032,Strikers
12.247619,4.719163,Central Midfielders
5.5624824,7.3847733,Central Midfielders
